,stock_id,date,open,max,min,close,trading_turnover,buy,up,down,sell,earn
87,1101,2022-02-21,47.35,47.7,47.1,47.6,8201,47.7,48.05,46.85,47.45,-0.0052410901467505235
88,1101,2022-02-22,47.4,47.85,47.45,47.7,10655,47.65,48.05,46.85,47.45,-0.004197271773347235
89,1101,2022-02-23,47.7,47.5,47.1,47.65,8040,47.3,48.05,46.85,47.45,0.0031712473572939894
90,1101,2022-02-24,47.5,47.5,46.9,47.3,13124,47.35,48.2,46.85,47.525000000000006,0.0036958817317846726
91,1101,2022-02-25,47.2,47.85,47.5,47.35,14556,47.8,48.95,46.85,47.900000000000006,0.0020920502092051994
92,1101,2022-03-01,47.8,48.0,47.6,47.8,14012,48.0,49.85,46.85,48.35,0.007291666666666696
93,1101,2022-03-02,47.8,48.05,47.8,48.0,8133,48.05,49.85,46.85,48.35,0.006243496357960547
94,1101,2022-03-03,47.95,47.85,47.5,48.05,7496,47.65,49.85,46.85,48.35,0.014690451206715695
95,1101,2022-03-04,47.8,47.45,46.9,47.65,10981,47.1,49.95,46.85,48.400000000000006,0.027600849256900303
96,1101,2022-03-07,47.45,47.15,46.85,47.1,16828,46.95,49.95,46.85,48.400000000000006,0.03088391906283286
97,1101,2022-03-08,47.0,47.4,47.05,46.95,15626,47.25,49.95,47.05,48.5,0.026455026455026454
98,1101,2022-03-09,47.3,47.7,47.2,47.25,5508,47.6,50.2,47.2,48.7,0.02310924369747902
99,1101,2022-03-10,47.25,47.6,47.3,47.6,9404,47.45,50.2,47.3,48.75,0.027397260273972542
100,1101,2022-03-11,47.4,47.7,47.4,47.45,6567,47.55,50.2,47.4,48.8,0.026288117770767616
101,1101,2022-03-14,47.45,48.0,47.4,47.55,8094,47.95,50.2,47.4,48.8,0.01772679874869644
102,1101,2022-03-15,47.5,48.0,47.65,47.95,10641,47.85,50.2,47.65,48.925,0.02246603970741893
103,1101,2022-03-16,47.95,48.2,47.85,47.85,11256,48.0,50.2,47.85,49.025000000000006,0.021354166666666785
104,1101,2022-03-17,48.1,48.95,48.1,48.0,16944,48.95,50.2,48.1,49.150000000000006,0.004085801838610886
105,1101,2022-03-18,48.1,49.85,49.05,48.95,31706,49.75,,,,
106,1101,2022-03-21,49.1,49.75,49.3,49.75,24218,49.7,,,,
107,1101,2022-03-22,49.7,49.7,49.45,49.7,10974,49.65,,,,
108,1101,2022-03-23,49.7,49.95,49.45,49.65,12497,49.95,,,,
109,1101,2022-03-24,49.65,49.9,49.55,49.95,14015,49.7,,,,
110,1101,2022-03-25,49.9,49.75,49.1,49.7,8739,49.7,,,,
111,1101,2022-03-28,49.4,50.2,49.5,49.7,8505,49.8,,,,
112,1101,2022-03-29,49.8,50.0,49.7,49.8,8017,49.85,,,,
113,1101,2022-03-30,49.85,50.2,49.85,49.85,9604,49.9,,,,
114,1101,2022-03-31,49.95,50.0,49.45,49.9,15106,49.75,,,,
115,1101,2022-04-01,49.7,50.2,49.6,49.75,9847,50.2,,,,
116,1101,2022-04-06,49.75,50.2,49.5,50.2,10907,49.55,,,,
117,1101,2022-04-07,49.8,49.8,49.4,49.55,11152,49.8,,,,
118,1101,2022-04-08,49.6,,,49.8,6437,,,,,
