bank,證券商名稱,開業日,地址,電話
9625,富邦竹東,,,
9627,富邦內湖,,,
9634,富邦羅東,,,
9636,富邦中壢,,,
9647,富邦新竹,,,
9654,富邦永和,,,
9655,富邦板橋,,,
9657,富邦苗栗,,,
9658,富邦建國,,,
9659,富邦高雄,,,
965K,富邦台中,,,
965U,富邦彰化,,,
9661,富邦新店,,,
9663,富邦敦南,,,
9665,富邦桃園,,,
9666,富邦南屯,,,
9667,富邦台南,,,
966F,富邦左營,,,
9672,富邦員林,,,
9676,富邦仁愛,,,
9677,富邦三重,,,
9686,富邦宜蘭,,,
9692,富邦嘉義,,,
9693,富邦新營,,,
9697,富邦虎尾,,,
9699,富邦經紀,,,
969C,富邦北港,,,
960T,富邦,,,
9800,元大,,,
9801,元大城東,,,
980C,元大斗六,,,
980D,元大北府,,,
980K,元大竹科,,,
980Q,元大南崁,,,
980R,元大南海,,,
980a,元大承德,,,
980d,元大沙鹿,,,
980e,元大清水,,,
980h,元大台北,,,
980l,元大虎尾,,,
980u,元大府城,,,
980w,元大西屯,,,
9812,元大台中,,,
9813,元大八德,,,
9814,元大大益,,,
9815,元大永康,,,
9816,元大新竹,,,
9817,元大東泰,,,
981A,元大鶯歌,,,
981B,元大竹北,,,
981C,元大路竹,,,
981D,元大南投,,,
981E,元大發財,,,
981F,元大福營,,,
981G,元大彰化,,,
981I,元大天母,,,
981K,元大林園,,,
981L,元大莒光,,,
981M,元大苗栗,,,
981N,元大金門,,,
981Q,元大太平,,,
981R,元大竹山,,,
981S,元大崇德,,,
981U,元大華山,,,
981V,元大民雄,,,
981X,元大新生,,,
981Z,元大潮州,,,
981a,元大歸仁,,,
981e,元大佳里,,,
981g,元大大里,,,
981h,元大屏東民,,,
981i,元大西螺,,,
981j,元大士林,,,
981m,元大前金,,,
981n,元大旗山,,,
981p,元大松山,,,
981q,元大萬華,,,
981r,元大屏南,,,
981y,元大善化,,,
981z,元大大統,,,
9822,元大土城學,,,
